,TERMICA,Volume in Energy,ONI Anomaly,AporEnergia,PorcVoluUtilDiario
count,61.0,61.0,61.0,61.0,61.0
mean,1421.4288227636064,346151.3041491803,-0.12688524590163935,5550.651534426229,0.6562352923037048
std,619.7383644688094,83371.66911991249,0.964728875528606,2204.33163887894,0.15221199701308957
min,670.9032173,159696.1704,-1.31,1852.1553,0.3066433333333334
25%,920.2602718,295886.5587,-0.79,3744.3423,0.5732287096774193
50%,1242.28953364,349908.3897,-0.39,5710.0329,0.6639174193548387
75%,1819.6080117,422226.582,0.22,7063.7422,0.7741733333333334
max,3190.09459968,468144.8219,2.15,10682.2342,0.8669364516129032
skew,1.0017575939151555,-0.4721656210597252,1.181923839954329,0.22612950825052963,-0.5385670238579053
kurtosis,0.22601216325531626,-0.537948005217475,0.41973276713990515,-0.6873341406655427,-0.4039823160808549
